Lead_ID,Source,Program_Interested,Date_Enquired,Call_Attended,Demo_Attended,Follow_Ups,Days_to_First_Contact,Counselor_Name,Lead_Score,Converted
L00049,Referral,MCA,2025-04-13,No,No,1,0,Counselor_12,62,No
L00050,WhatsApp,BSC,2025-04-21,No,No,0,2,Counselor_11,33,No
L00051,WhatsApp,MBA,2025-04-20,Yes,Yes,4,2,Counselor_20,49,No
L00052,Referral,MBA,2025-03-26,Yes,Yes,1,2,Counselor_23,85,Yes
L00053,Facebook,MBA,2025-01-15,No,No,1,1,Counselor_38,53,No
L00054,Website,MSC,2025-03-18,Yes,No,3,3,Counselor_39,85,No
L00055,Instagram,PGCP,2025-04-26,Yes,Yes,6,3,Counselor_1,86,No
L00056,Referral,PGDM,2025-02-25,Yes,No,3,4,Counselor_21,35,No
L00057,Google Ads,BCA,2025-02-09,Yes,Yes,6,2,Counselor_36,36,No
L00058,Referral,PGCP,2025-03-27,No,No,2,5,Counselor_12,92,No
L00059,Google Ads,PGCP,2025-03-12,No,No,1,2,Counselor_14,75,No
L00060,Facebook,BCOM,2025-02-26,Yes,Yes,4,5,Counselor_11,30,No
L00061,Google Ads,BCA,2025-03-26,Yes,Yes,2,5,Counselor_20,48,No
L00062,Referral,MCA,2025-01-04,Yes,No,5,0,Counselor_30,73,No
L00063,Referral,PGCP,2025-03-05,Yes,Yes,6,0,Counselor_49,33,No
L00064,WhatsApp,MA,2025-01-23,No,No,2,4,Counselor_30,26,No
L00065,Referral,MSC,2025-02-28,Yes,Yes,5,4,Counselor_39,60,No
L00066,YouTube,BA,2025-04-15,No,No,2,3,Counselor_36,77,No
L00067,LinkedIn,BCOM,2025-02-27,Yes,Yes,6,2,Counselor_50,86,Yes
L00068,Referral,MCOM,2025-02-26,Yes,Yes,3,2,Counselor_21,89,Yes
L00069,LinkedIn,MA,2025-02-19,Yes,No,1,3,Counselor_27,62,No
L00070,YouTube,PGCP,2025-01-08,Yes,Yes,5,5,Counselor_2,93,Yes
L00071,Website,PGDM,2025-02-08,No,No,1,4,Counselor_48,89,No
L00072,Referral,BCOM,2025-01-29,Yes,Yes,4,2,Counselor_43,71,No
L00073,YouTube,MCA,2025-03-21,Yes,No,5,4,Counselor_43,23,No
L00074,Instagram,BSC,2025-02-24,Yes,Yes,1,2,Counselor_25,61,Yes
L00075,Facebook,PGDM,2025-04-08,No,No,1,3,Counselor_17,30,No
L00076,YouTube,MBA,2025-04-06,Yes,No,3,1,Counselor_42,28,No
L00077,Website,MBA,2025-02-01,Yes,Yes,2,1,Counselor_9,80,No
L00078,Referral,BCOM,2025-03-31,Yes,Yes,5,4,Counselor_48,34,No
L00079,LinkedIn,MCOM,2025-01-14,Yes,No,5,5,Counselor_25,70,No
L00080,Referral,MSC,2025-03-17,Yes,No,1,5,Counselor_50,58,No
L00081,Instagram,BA,2025-04-11,Yes,Yes,6,2,Counselor_5,84,No
L00082,Website,PGCP,2025-04-16,Yes,Yes,3,5,Counselor_30,39,No
L00083,WhatsApp,MCA,2025-04-04,Yes,No,5,4,Counselor_50,81,No
L00084,YouTube,PGCP,2025-04-16,No,No,1,2,Counselor_16,31,No
L00085,Google Ads,BCOM,2025-02-01,No,No,2,4,Counselor_43,68,No
L00086,Facebook,MBA,2025-03-05,No,No,0,3,Counselor_14,65,No
L00087,Google Ads,PGDM,2025-02-05,No,No,2,2,Counselor_36,21,No
L00088,Referral,MSC,2025-01-31,No,No,1,4,Counselor_49,50,No
L00089,YouTube,BSC,2025-04-02,Yes,No,1,2,Counselor_15,71,No
L00090,Referral,MCOM,2025-03-26,Yes,Yes,5,2,Counselor_28,90,Yes
L00091,YouTube,MCOM,2025-02-09,Yes,Yes,2,2,Counselor_8,88,No
L00092,LinkedIn,MA,2025-01-28,No,No,1,5,Counselor_38,87,No
L00093,Google Ads,MSC,2025-04-17,Yes,Yes,2,2,Counselor_1,88,Yes
L00094,Website,MBA,2025-03-12,Yes,No,6,3,Counselor_7,21,No
L00095,Google Ads,BCOM,2025-03-03,Yes,Yes,1,2,Counselor_31,34,No
L00096,Instagram,PGCP,2025-03-04,Yes,No,1,1,Counselor_10,92,No
L00097,Google Ads,MSC,2025-02-01,Yes,No,5,4,Counselor_40,48,No
L00098,WhatsApp,BCOM,2025-04-27,Yes,No,4,2,Counselor_37,27,No
L00099,Instagram,MA,2025-03-22,Yes,No,2,1,Counselor_12,90,No
L00100,Instagram,MCA,2025-01-01,Yes,No,4,2,Counselor_3,49,No
L00101,Google Ads,MCOM,2025-03-31,No,No,0,5,Counselor_15,53,No
L00102,Referral,PGCP,2025-01-15,Yes,No,3,1,Counselor_5,27,No
L00103,LinkedIn,MCOM,2025-03-18,No,No,2,2,Counselor_29,35,No
L00104,YouTube,MCOM,2025-03-31,Yes,Yes,5,3,Counselor_29,30,No
L00105,Website,PGCP,2025-04-05,Yes,Yes,1,1,Counselor_44,93,No
L00106,Website,BSC,2025-04-16,Yes,Yes,2,3,Counselor_34,76,No
L00107,LinkedIn,BA,2025-02-25,Yes,Yes,1,3,Counselor_23,72,Yes
L00108,Instagram,MCA,2025-02-12,Yes,Yes,6,3,Counselor_49,90,Yes
L00109,Instagram,PGDM,2025-02-02,Yes,No,4,4,Counselor_1,89,No
L00110,YouTube,PGCP,2025-01-07,Yes,Yes,4,5,Counselor_29,26,No
L00111,Referral,MCOM,2025-03-12,Yes,Yes,6,3,Counselor_8,23,No
L00112,Referral,MCA,2025-02-09,Yes,Yes,1,1,Counselor_8,79,No
L00113,LinkedIn,BCOM,2025-04-30,No,No,2,5,Counselor_18,73,No
L00114,YouTube,BCOM,2025-02-01,Yes,Yes,2,4,Counselor_33,37,No
L00115,Instagram,MCOM,2025-04-09,No,No,1,2,Counselor_33,54,No
L00116,Website,MCOM,2025-04-03,Yes,Yes,6,3,Counselor_10,77,No
L00117,Facebook,PGDM,2025-03-12,No,No,1,3,Counselor_21,44,No
L00118,Referral,BA,2025-02-19,Yes,No,1,2,Counselor_48,80,No
L00119,WhatsApp,PGCP,2025-03-26,No,No,2,1,Counselor_32,24,No
L00120,LinkedIn,BCA,2025-03-17,Yes,Yes,4,0,Counselor_34,78,Yes
L00121,LinkedIn,PGCP,2025-04-22,Yes,Yes,4,2,Counselor_22,70,No
L00122,Facebook,BSC,2025-04-20,Yes,No,6,5,Counselor_49,82,No
L00123,Website,BA,2025-01-09,Yes,No,3,1,Counselor_48,31,No
L00124,WhatsApp,MSC,2025-04-08,Yes,No,4,1,Counselor_45,58,No
L00125,Website,MBA,2025-02-11,No,No,1,2,Counselor_24,75,No
L00126,LinkedIn,MA,2025-03-09,Yes,No,2,1,Counselor_12,30,No
L00127,WhatsApp,BA,2025-03-29,Yes,No,2,1,Counselor_30,52,No
L00128,YouTube,MCOM,2025-03-27,Yes,No,3,5,Counselor_35,40,No
L00129,Instagram,BCOM,2025-05-01,Yes,Yes,6,3,Counselor_45,52,No
L00130,YouTube,MCOM,2025-01-26,No,No,1,0,Counselor_16,68,No
L00131,Facebook,BA,2025-02-07,No,No,1,0,Counselor_43,70,No
L00132,Google Ads,MBA,2025-03-14,No,No,2,0,Counselor_39,83,No
L00133,Google Ads,MA,2025-03-19,No,No,0,5,Counselor_13,52,No
L00134,LinkedIn,BSC,2025-01-13,No,No,2,0,Counselor_20,76,No
L00135,Website,BA,2025-02-16,No,No,0,2,Counselor_21,73,No
L00136,LinkedIn,MA,2025-01-17,No,No,1,4,Counselor_33,54,No
L00137,LinkedIn,MCOM,2025-04-27,No,No,1,2,Counselor_48,63,No
L00138,Instagram,BCOM,2025-01-10,Yes,No,6,5,Counselor_44,70,No
L00139,Facebook,MSC,2025-04-12,Yes,Yes,1,3,Counselor_24,53,No
L00140,WhatsApp,BSC,2025-05-01,Yes,No,4,0,Counselor_40,91,No
L00141,Facebook,BA,2025-01-29,Yes,No,4,5,Counselor_20,72,No
L00142,Instagram,MCA,2025-01-06,No,No,1,3,Counselor_8,32,No
L00143,Referral,BCA,2025-01-18,Yes,Yes,6,5,Counselor_35,73,No
L00144,LinkedIn,PGCP,2025-03-25,Yes,Yes,4,2,Counselor_3,67,Yes
L00145,YouTube,MA,2025-04-20,Yes,No,3,4,Counselor_42,65,No
L00146,Website,PGCP,2025-02-05,Yes,Yes,4,0,Counselor_43,47,No
L00147,Website,MBA,2025-04-11,Yes,No,5,1,Counselor_5,90,No
L00148,Referral,BA,2025-01-28,No,No,0,2,Counselor_50,38,No
L00149,Website,MCOM,2025-04-20,No,No,0,4,Counselor_17,42,No
L00150,Instagram,BSC,2025-04-21,Yes,Yes,2,4,Counselor_21,22,No
L00151,LinkedIn,MCOM,2025-01-07,Yes,Yes,1,5,Counselor_5,80,Yes
L00152,Facebook,BCA,2025-03-17,Yes,Yes,5,0,Counselor_47,86,Yes
L00153,Website,MBA,2025-03-03,No,No,1,5,Counselor_7,82,No
L00154,YouTube,MSC,2025-04-26,Yes,No,1,1,Counselor_18,94,No
L00155,Facebook,PGCP,2025-03-18,Yes,Yes,5,3,Counselor_7,34,No
L00156,Referral,PGCP,2025-02-27,No,No,1,2,Counselor_30,71,No
L00157,WhatsApp,MSC,2025-02-10,Yes,No,3,1,Counselor_44,80,No
L00158,Instagram,MSC,2025-04-17,Yes,Yes,6,5,Counselor_24,36,No
L00159,Website,BA,2025-03-13,Yes,No,4,2,Counselor_43,74,No
L00160,Website,MCOM,2025-03-18,Yes,Yes,5,1,Counselor_10,81,Yes
L00161,Instagram,PGDM,2025-04-19,Yes,Yes,3,4,Counselor_15,74,No
L00162,Website,BA,2025-04-29,Yes,No,1,1,Counselor_18,59,No
L00163,Facebook,PGDM,2025-01-01,Yes,Yes,6,3,Counselor_5,38,No
L00164,Website,MSC,2025-04-06,Yes,Yes,4,2,Counselor_11,67,Yes
L00165,Facebook,BA,2025-03-18,Yes,Yes,2,4,Counselor_4,30,No
L00166,Google Ads,BCOM,2025-03-26,Yes,No,4,2,Counselor_14,85,No
L00167,Instagram,PGDM,2025-02-25,Yes,No,5,3,Counselor_34,59,No
L00168,Website,MA,2025-02-20,No,No,0,0,Counselor_14,58,No
L00169,Referral,MCA,2025-04-08,Yes,Yes,1,3,Counselor_48,75,Yes
L00170,WhatsApp,BCA,2025-04-01,Yes,Yes,6,2,Counselor_5,70,No
L00171,Website,PGCP,2025-01-03,Yes,Yes,3,4,Counselor_28,93,Yes
L00172,WhatsApp,MCOM,2025-01-15,Yes,No,2,4,Counselor_30,66,No
L00173,Instagram,PGCP,2025-04-19,Yes,Yes,4,4,Counselor_6,70,No
L00174,Facebook,MA,2025-02-12,No,No,0,4,Counselor_41,34,No
L00175,Referral,PGDM,2025-02-14,No,No,2,1,Counselor_16,33,No
L00176,LinkedIn,MCOM,2025-01-26,Yes,Yes,6,0,Counselor_12,83,Yes
L00177,YouTube,BSC,2025-04-29,No,No,2,5,Counselor_40,61,No
L00178,Facebook,MCA,2025-02-26,Yes,Yes,3,2,Counselor_38,27,No
L00179,Facebook,BCA,2025-01-10,Yes,Yes,1,2,Counselor_19,29,No
L00180,Instagram,BA,2025-03-18,Yes,Yes,5,5,Counselor_3,77,No
L00181,Referral,PGDM,2025-03-19,Yes,Yes,1,3,Counselor_7,63,No
L00182,Instagram,BCA,2025-03-24,Yes,Yes,4,3,Counselor_34,86,No
L00183,Facebook,PGDM,2025-04-28,Yes,Yes,3,5,Counselor_39,26,No
L00184,Facebook,MSC,2025-02-12,Yes,No,3,2,Counselor_47,39,No
L00185,Facebook,MSC,2025-03-16,Yes,No,3,5,Counselor_45,70,No
L00186,LinkedIn,BA,2025-04-01,No,No,1,4,Counselor_25,62,No
L00187,LinkedIn,BSC,2025-03-31,No,No,2,5,Counselor_34,31,No
L00188,WhatsApp,BCA,2025-02-16,Yes,Yes,2,2,Counselor_50,82,Yes
L00189,LinkedIn,MCA,2025-01-10,Yes,No,5,4,Counselor_48,87,No
L00190,Website,BSC,2025-02-13,No,No,2,1,Counselor_39,68,No
L00191,LinkedIn,MCA,2025-01-24,No,No,2,1,Counselor_47,76,No
L00192,Website,PGCP,2025-02-16,Yes,Yes,4,4,Counselor_19,77,Yes
L00193,Referral,MCOM,2025-04-14,No,No,0,2,Counselor_44,93,No
L00194,YouTube,BCOM,2025-04-09,Yes,Yes,5,3,Counselor_11,45,No
L00195,LinkedIn,MCOM,2025-01-07,Yes,No,5,0,Counselor_46,86,No
L00196,Instagram,MCOM,2025-01-11,No,No,1,3,Counselor_33,38,No
L00197,WhatsApp,MSC,2025-04-27,Yes,Yes,3,0,Counselor_27,26,No
L00198,WhatsApp,BCA,2025-02-17,Yes,No,3,1,Counselor_2,60,No
L00199,Instagram,BSC,2025-02-12,No,No,0,0,Counselor_19,80,No
L00200,LinkedIn,BCOM,2025-02-27,Yes,No,1,2,Counselor_14,39,No
L00201,WhatsApp,MSC,2025-04-10,Yes,Yes,1,1,Counselor_27,78,Yes
L00202,YouTube,BA,2025-03-10,Yes,Yes,2,5,Counselor_10,57,No
L00203,WhatsApp,MBA,2025-03-20,Yes,Yes,2,5,Counselor_43,30,No
L00204,Facebook,MSC,2025-03-09,Yes,No,5,4,Counselor_2,69,No
L00205,YouTube,MBA,2025-03-23,Yes,Yes,6,0,Counselor_23,28,No
L00206,Facebook,MA,2025-04-04,Yes,Yes,5,5,Counselor_49,62,Yes
L00207,Facebook,BCA,2025-02-13,No,No,0,5,Counselor_30,81,No
L00208,LinkedIn,MCA,2025-01-09,No,No,1,0,Counselor_19,45,No
L00209,Website,MA,2025-04-24,Yes,No,5,3,Counselor_35,80,No
L00210,Google Ads,MBA,2025-04-07,Yes,Yes,1,5,Counselor_22,54,No
L00211,Instagram,PGDM,2025-02-25,No,No,2,3,Counselor_25,63,No
L00212,LinkedIn,BCOM,2025-03-30,Yes,No,5,2,Counselor_6,74,No
L00213,Instagram,PGCP,2025-03-19,No,No,0,4,Counselor_19,61,No
L00214,Instagram,MSC,2025-02-11,Yes,Yes,5,5,Counselor_28,41,No
L00215,YouTube,PGDM,2025-02-27,Yes,No,3,4,Counselor_28,55,No
L00216,Website,MSC,2025-03-27,Yes,Yes,6,5,Counselor_11,23,No
L00217,LinkedIn,BA,2025-03-28,No,No,0,1,Counselor_5,50,No
L00218,Facebook,PGDM,2025-02-19,No,No,0,4,Counselor_10,77,No
L00219,Facebook,PGDM,2025-02-26,No,No,2,1,Counselor_34,66,No
L00220,WhatsApp,PGDM,2025-03-25,Yes,No,1,5,Counselor_12,83,No
L00221,WhatsApp,BCA,2025-01-16,Yes,Yes,4,1,Counselor_40,56,No
L00222,YouTube,MA,2025-01-16,Yes,Yes,2,5,Counselor_29,31,No
L00223,Facebook,BSC,2025-02-14,No,No,2,4,Counselor_19,58,No
L00224,LinkedIn,BSC,2025-01-23,No,No,2,1,Counselor_8,45,No
L00225,LinkedIn,MA,2025-04-12,Yes,Yes,5,2,Counselor_30,90,Yes
L00226,Instagram,MSC,2025-02-09,Yes,No,4,4,Counselor_27,72,No
L00227,Instagram,MCA,2025-02-10,Yes,Yes,6,4,Counselor_23,36,No
L00228,LinkedIn,MCA,2025-02-25,Yes,No,1,4,Counselor_10,58,No
L00229,LinkedIn,MCA,2025-02-11,No,No,0,2,Counselor_34,56,No
L00230,Instagram,MCOM,2025-01-26,Yes,Yes,2,5,Counselor_20,88,Yes
L00231,LinkedIn,BA,2025-05-01,Yes,Yes,5,5,Counselor_39,63,No
L00232,Website,MBA,2025-01-11,Yes,No,5,2,Counselor_42,46,No
L00233,WhatsApp,BA,2025-03-23,Yes,No,5,2,Counselor_42,58,No
L00234,YouTube,MA,2025-04-14,No,No,1,2,Counselor_30,29,No
L00235,Website,MCA,2025-02-26,Yes,Yes,3,4,Counselor_10,60,No
L00236,Facebook,PGDM,2025-02-21,Yes,Yes,5,0,Counselor_21,50,No
L00237,YouTube,MSC,2025-02-04,Yes,Yes,1,2,Counselor_25,73,Yes
L00238,LinkedIn,PGDM,2025-04-30,Yes,Yes,2,3,Counselor_33,79,Yes
L00239,Google Ads,BCOM,2025-01-03,Yes,Yes,4,1,Counselor_14,94,Yes
L00240,Website,MCOM,2025-03-05,Yes,No,6,3,Counselor_19,88,No
L00241,Website,MSC,2025-02-25,Yes,Yes,3,3,Counselor_24,25,No
L00242,WhatsApp,MBA,2025-03-14,Yes,Yes,3,0,Counselor_25,84,Yes
L00243,Google Ads,BA,2025-03-29,Yes,Yes,1,3,Counselor_24,63,No
L00244,Facebook,MCA,2025-01-26,Yes,Yes,1,0,Counselor_3,37,No
L00245,Facebook,BCOM,2025-03-08,Yes,No,5,1,Counselor_21,60,No
L00246,LinkedIn,PGCP,2025-03-20,No,No,1,4,Counselor_22,84,No
L00247,YouTube,BA,2025-02-08,Yes,Yes,3,5,Counselor_8,73,No
L00248,Website,BA,2025-03-02,Yes,No,5,4,Counselor_15,26,No
L00249,YouTube,MCA,2025-03-09,Yes,No,4,1,Counselor_44,51,No
L00250,Website,BA,2025-03-31,Yes,Yes,3,3,Counselor_10,72,No
L00251,WhatsApp,BCA,2025-04-10,Yes,Yes,6,5,Counselor_4,37,No
L00252,Referral,BCA,2025-02-11,No,No,1,4,Counselor_25,60,No
L00253,LinkedIn,BCOM,2025-04-27,Yes,Yes,6,5,Counselor_44,53,No
L00254,YouTube,MA,2025-02-01,Yes,Yes,3,2,Counselor_46,46,No
L00255,YouTube,PGDM,2025-03-03,Yes,No,6,2,Counselor_19,35,No
L00256,WhatsApp,PGCP,2025-04-15,Yes,No,2,2,Counselor_3,56,No
L00257,Instagram,PGDM,2025-04-29,Yes,Yes,4,1,Counselor_13,88,Yes
L00258,Google Ads,MCA,2025-01-14,Yes,Yes,2,0,Counselor_43,87,Yes
L00259,Referral,MBA,2025-01-13,Yes,No,1,5,Counselor_50,37,No
L00260,Website,BCA,2025-04-29,Yes,No,4,3,Counselor_42,45,No
L00261,Google Ads,PGDM,2025-02-06,Yes,No,1,5,Counselor_37,49,No
L00262,Website,MCA,2025-02-23,No,No,0,0,Counselor_26,83,No
L00263,LinkedIn,MCOM,2025-04-23,Yes,Yes,5,0,Counselor_22,56,No
L00264,YouTube,BSC,2025-03-11,Yes,No,2,4,Counselor_30,54,No
L00265,Referral,MSC,2025-02-12,Yes,Yes,3,5,Counselor_12,21,No
L00266,Facebook,MCOM,2025-03-14,Yes,Yes,5,5,Counselor_26,74,No
L00267,Instagram,PGCP,2025-03-27,Yes,No,4,2,Counselor_16,20,No
L00268,Google Ads,PGCP,2025-01-31,Yes,Yes,3,2,Counselor_38,93,Yes
L00269,Facebook,MA,2025-01-08,Yes,Yes,2,3,Counselor_44,84,No
L00270,Google Ads,MSC,2025-03-23,No,No,1,2,Counselor_40,48,No
L00271,Referral,MCA,2025-03-03,Yes,No,5,2,Counselor_27,90,No
L00272,YouTube,BCA,2025-04-13,Yes,Yes,2,5,Counselor_49,30,No
L00273,YouTube,BCA,2025-04-01,Yes,No,1,0,Counselor_36,84,No
L00274,Referral,BA,2025-03-10,Yes,Yes,5,3,Counselor_8,46,No
L00275,YouTube,MSC,2025-04-26,Yes,No,4,1,Counselor_33,73,No
L00276,YouTube,BA,2025-01-08,Yes,No,3,5,Counselor_2,70,No
L00277,Google Ads,MBA,2025-04-06,Yes,Yes,4,2,Counselor_45,28,No
L00278,Website,MSC,2025-04-30,Yes,Yes,2,1,Counselor_50,73,Yes
L00279,WhatsApp,BCOM,2025-04-22,No,No,1,3,Counselor_6,89,No
L00280,LinkedIn,BSC,2025-04-21,Yes,Yes,5,3,Counselor_34,36,No
L00281,Referral,MBA,2025-04-07,Yes,Yes,6,5,Counselor_35,74,No
L00282,Referral,MA,2025-02-28,Yes,Yes,6,0,Counselor_3,73,No
L00283,Website,MA,2025-01-27,Yes,Yes,4,4,Counselor_44,26,No
L00284,Referral,MBA,2025-02-21,Yes,Yes,1,1,Counselor_33,57,No
L00285,Referral,BA,2025-02-10,Yes,No,3,1,Counselor_20,38,No
L00286,Referral,PGCP,2025-02-08,Yes,Yes,5,5,Counselor_12,74,No
L00287,Website,PGDM,2025-05-01,Yes,Yes,5,2,Counselor_45,73,Yes
L00288,Google Ads,PGCP,2025-01-24,No,No,1,1,Counselor_15,58,No
L00289,LinkedIn,BCOM,2025-04-28,Yes,Yes,4,4,Counselor_34,37,No
L00290,WhatsApp,MA,2025-02-02,Yes,No,4,2,Counselor_6,88,No
L00291,Referral,MBA,2025-02-04,Yes,No,1,0,Counselor_13,95,No
L00292,Referral,BCOM,2025-01-27,No,No,1,2,Counselor_1,47,No
L00293,Referral,MSC,2025-04-06,No,No,1,1,Counselor_45,46,No
L00294,WhatsApp,MA,2025-03-12,Yes,Yes,4,4,Counselor_42,65,Yes
L00295,Facebook,BCA,2025-04-23,Yes,Yes,6,3,Counselor_49,60,No
L00296,Referral,PGDM,2025-02-10,Yes,Yes,2,5,Counselor_10,22,No
L00297,Google Ads,BCA,2025-04-30,Yes,No,3,1,Counselor_13,62,No
L00298,Referral,PGCP,2025-03-14,No,No,1,4,Counselor_42,63,No
L00299,Google Ads,BCOM,2025-04-03,Yes,Yes,2,5,Counselor_23,41,No
L00300,LinkedIn,BCA,2025-03-04,Yes,No,6,0,Counselor_34,24,No
L00301,Instagram,BSC,2025-01-07,No,No,1,1,Counselor_41,49,No
L00302,Instagram,MCA,2025-01-02,Yes,Yes,1,4,Counselor_41,81,No
L00303,Website,MBA,2025-03-10,Yes,Yes,5,5,Counselor_18,88,No
L00304,Website,BCA,2025-04-15,Yes,Yes,2,0,Counselor_7,87,Yes
L00305,Referral,BA,2025-03-09,Yes,Yes,4,0,Counselor_24,71,Yes
L00306,Referral,MA,2025-02-08,Yes,No,6,5,Counselor_49,24,No
L00307,Instagram,PGCP,2025-02-18,Yes,Yes,6,0,Counselor_45,41,No
L00308,Instagram,BCOM,2025-04-19,Yes,No,5,0,Counselor_34,25,No
L00309,Referral,MA,2025-04-26,No,No,2,3,Counselor_18,25,No
L00310,Instagram,BSC,2025-04-29,Yes,Yes,6,0,Counselor_12,60,No
L00311,Website,MA,2025-03-17,Yes,No,4,0,Counselor_20,40,No
L00312,Referral,BA,2025-04-17,No,No,2,4,Counselor_22,69,No
L00313,LinkedIn,MSC,2025-03-06,No,No,1,0,Counselor_7,75,No
L00314,Referral,MSC,2025-02-13,Yes,No,5,3,Counselor_50,61,No
L00315,Website,BSC,2025-02-04,No,No,1,3,Counselor_15,65,No
L00316,WhatsApp,PGCP,2025-01-24,Yes,No,1,4,Counselor_19,51,No
L00317,Instagram,MSC,2025-02-04,Yes,No,6,1,Counselor_48,69,No
L00318,Facebook,PGDM,2025-01-14,Yes,No,4,2,Counselor_49,54,No
L00319,Instagram,MCA,2025-01-12,Yes,Yes,5,4,Counselor_27,33,No
L00320,Website,MSC,2025-02-15,Yes,Yes,3,3,Counselor_1,57,No
L00321,WhatsApp,PGCP,2025-04-10,Yes,No,2,4,Counselor_34,41,No
L00322,WhatsApp,MCA,2025-01-18,Yes,Yes,2,0,Counselor_11,75,Yes
L00323,Google Ads,BCOM,2025-04-11,Yes,Yes,2,5,Counselor_41,83,No
L00324,Referral,BCOM,2025-01-14,Yes,Yes,4,2,Counselor_40,68,No
L00325,Facebook,BCOM,2025-02-12,Yes,No,6,4,Counselor_9,58,No
L00326,Facebook,BA,2025-03-30,Yes,Yes,4,2,Counselor_19,82,No
L00327,Referral,PGDM,2025-02-18,Yes,No,3,0,Counselor_37,45,No
L00328,LinkedIn,BSC,2025-04-09,Yes,No,4,5,Counselor_14,76,No
L00329,Google Ads,MSC,2025-04-15,No,No,1,5,Counselor_32,37,No
L00330,Google Ads,MA,2025-02-02,Yes,No,4,0,Counselor_29,81,No
